video_1_segment_0| Ama audio libros presenta Aristóteles, la gran morad, narración Artur Mas. | Ama audio libros presenta Aristteles, la gran morad, narracin Artur Mas.
video_2_segment_267| el acuerdo de estos mismos intereses es lo que la ha hecho posible. Esto es lo que hay de común en estos diferentes intereses, | el acuerdo de estos mismos intereses es lo que la ha hecho posible Esto es lo que hay de comn en estos diferentes intereses,.
video_2_segment_268| que forman el vínculo social. Y si no existiese un punto en el cual se armonizas en todos ellos, no hubiese podido existir. | que forman el vnculo social Y si no existiese un punto en el cual se armonizas en todos ellos, no hubiese podido existir.
video_2_segment_269| ninguna sociedad. Ahora bien, sólo sobre este interés común debe ser gobernada a la sociedad. Digo pues... | ninguna sociedad Ahora bien, slo sobre este inters comn debe ser gobernada a la sociedad Digo pues.
video_2_segment_27| legislador no perdería el tiempo en decir lo que es preciso hacer, sino que lo haría o me callaría. Nacido Ciudadano en un estado libre | legislador no perdera el tiempo en decir lo que es preciso hacer, sino que lo hara o me callara Nacido Ciudadano en un estado libre.
video_2_segment_270| que no siendo la soberanía sino el ejercicio de la voluntad general, no puede enajenarse jamás, y el soberano que no es sino aún. | que no siendo la soberana sino el ejercicio de la voluntad general, no puede enajenarse jams, y el soberano que no es sino an.
video_2_segment_271| ser colectivo no puede ser representado más que por sí mismo. El poder es susceptible de ser transmitido más | ser colectivo no puede ser representado ms que por s mismo El poder es susceptible de ser transmitido ms.
video_2_segment_272| no la voluntad. En efecto, si bien no es imposible que una voluntad particular concuerte en algún punto con la voluntad. | no la voluntad En efecto, si bien no es imposible que una voluntad particular concuerte en algn punto con la voluntad.
video_2_segment_273| general, si lo es al menos que esta armonía sea duradera y constante, porque la voluntad particular tiende por su naturaleza | general, si lo es al menos que esta armona sea duradera y constante, porque la voluntad particular tiende por su naturaleza.
video_2_segment_274| al privilegio y la voluntad general a la igualdad. Es aún más imposible que exista una garantía de esta armonía, a un cual | al privilegio y la voluntad general a la igualdad Es an ms imposible que exista una garanta de esta armona, a un cual.
video_2_segment_275| cuando siempre debería existir, esto no sería un efecto del arte, sino del azar. El soberano puede muy bien decir, yo quiero. | cuando siempre debera existir, esto no sera un efecto del arte, sino del azar El soberano puede muy bien decir, yo quiero.
video_2_segment_276| pero actualmente lo que quiere tal hombre o por lo menos lo que dice querer, pero no puede decir lo que este hombre que es ramañana | pero actualmente lo que quiere tal hombre o por lo menos lo que dice querer, pero no puede decir lo que este hombre que es ramaana.
video_2_segment_277| y yo lo que re también, puesto que es absurdo que la voluntad se he checadenas para el porvenir, y porque no depende de ninguna voluntad el consentir. | y yo lo que re tambin, puesto que es absurdo que la voluntad se he checadenas para el porvenir, y porque no depende de ninguna voluntad el consentir.
video_2_segment_278| sentir en nada que sea contrario al bien del ser que se quiere. Si pues el pueblo promete simplemente obedecer, se disuelve. | sentir en nada que sea contrario al bien del ser que se quiere Si pues el pueblo promete simplemente obedecer, se disuelve.
video_2_segment_279| ver por este acto y pierde su cualidad de pueblo. En el instante en que hay un Señor, ya no hay soberano y desde entonces, | ver por este acto y pierde su cualidad de pueblo En el instante en que hay un Seor, ya no hay soberano y desde entonces,.
video_2_segment_28| y miembro del soberano, por muy débil influencia que pueda ejercer mi voz en los asuntos públicos, me basta el derecho de votar sobre ellos para imponer. | y miembro del soberano, por muy dbil influencia que pueda ejercer mi voz en los asuntos pblicos, me basta el derecho de votar sobre ellos para imponer.
video_2_segment_280| el cuerpo político queda destruido. No quiere esto decir que las órdenes de los jefes no puedan pasar por voluntades generales | el cuerpo poltico queda destruido No quiere esto decir que las rdenes de los jefes no puedan pasar por voluntades generales.
video_2_segment_281| En cuanto el soberano libre para oponerse, no lo hace. En casos tales es decir, en casos de silencio universal. | En cuanto el soberano libre para oponerse, no lo hace En casos tales es decir, en casos de silencio universal.
video_2_segment_282| al, se debe resumir el consentimiento del pueblo. Esto se explicará más detenidamente. | al, se debe resumir el consentimiento del pueblo Esto se explicar ms detenidamente.
video_2_segment_283| 2. La soberanía es indivisible. Por la misma razón que la soberanía no es enagenable, es indivisible. | dos La soberana es indivisible Por la misma razn que la soberana no es enagenable, es indivisible.
video_2_segment_284| porque la voluntad es general o no lo es, es la del cuerpo del pueblo o solamente de una parte de él. En el primer caso, es | porque la voluntad es general o no lo es, es la del cuerpo del pueblo o solamente de una parte de l En el primer caso, es.
video_2_segment_285| esta voluntad declarada es un acto de soberanía y hace ley. En el segundo no es sino una voluntad particular o un acto de majistas. | esta voluntad declarada es un acto de soberana y hace ley En el segundo no es sino una voluntad particular o un acto de majistas.
video_2_segment_286| es a lo más un decreto, más no pudiendo nuestros políticos dividir la soberanía en su principio. | es a lo ms un decreto, ms no pudiendo nuestros polticos dividir la soberana en su principio.
video_2_segment_287| la dividen en su objeto, la dividen en fuerza y en voluntad, en poder legislativo y poder ejecutivo, en derechos de impuestos. | la dividen en su objeto, la dividen en fuerza y en voluntad, en poder legislativo y poder ejecutivo, en derechos de impuestos.
video_2_segment_288| de justicia y de guerra. En administración interior y en poder detratar con el extranjero, tan pronto confunden todas | de justicia y de guerra En administracin interior y en poder detratar con el extranjero, tan pronto confunden todas.
video_2_segment_289| estas partes como las separan. Hacen del soberano un ser fantástico, formado de piezas relacionadas, es como si compus | estas partes como las separan Hacen del soberano un ser fantstico, formado de piezas relacionadas, es como si compus.
video_2_segment_29| ponerme el de ver de instruirme. Dichoso, cuántas veces medito acerca de los gobiernos por encontrar en mis investigaciones, | ponerme el de ver de instruirme Dichoso, cuntas veces medito acerca de los gobiernos por encontrar en mis investigaciones,.
video_2_segment_290| si es en el hombre de muchos cuerpos, de los cuales uno tuviese los ojos, otros los razos, otros los pies y nada más. | si es en el hombre de muchos cuerpos, de los cuales uno tuviese los ojos, otros los razos, otros los pies y nada ms.
video_2_segment_291| Se dice que los charlatanes del Japón despedazan un niño a la vista de los espectadores y después lanzando a la | Se dice que los charlatanes del Japn despedazan un nio a la vista de los espectadores y despus lanzando a la.
video_2_segment_292| ir a sus miembros, uno después de otro, hacen que el niño vuelva a caer al suelo, vivo y entero. Semejantes son los juegos malos. | ir a sus miembros, uno despus de otro, hacen que el nio vuelva a caer al suelo, vivo y entero Semejantes son los juegos malos.
video_2_segment_293| a la vara de nuestros políticos. Después de haber despedazado el cuerpo social por un prestigio digno de la magia, reúnen los pedazos. | a la vara de nuestros polticos Despus de haber despedazado el cuerpo social por un prestigio digno de la magia, renen los pedazos.
video_2_segment_294| no se sabe cómo. Este error procede de no haberse formado noción exacta de la autoridad soberana y de haber considerado | no se sabe cmo Este error procede de no haberse formado nocin exacta de la autoridad soberana y de haber considerado.
video_2_segment_295| como partes de esa autoridad, lo que no eran sino emanaciones de ella. Así, por ejemplo, se ha considerado el ácido. | como partes de esa autoridad, lo que no eran sino emanaciones de ella As, por ejemplo, se ha considerado el cido.
video_2_segment_296| de declarar la guerra y el de hacer la paz como actos de soberanía. ¿Cosa inexacta? ¿Puesto que cada uno de estos actos | de declarar la guerra y el de hacer la paz como actos de soberana ¿Cosa inexacta? ¿Puesto que cada uno de estos actos.
video_2_segment_297| no constituye una ley, sino solamente una aplicación de la ley, un acto particular que determina el caso de la ley. | no constituye una ley, sino solamente una aplicacin de la ley, un acto particular que determina el caso de la ley.
video_2_segment_298| ley, como se verá claramente cuando se fije la idea que va unida a la palabra ley, siguiendo el análisis de las | ley, como se ver claramente cuando se fije la idea que va unida a la palabra ley, siguiendo el anlisis de las.
video_2_segment_299| más divisiones, veríamos que siempre que se cree ver la soberanía dividida se equivoca uno, que los derechos que se toman como parte de esta | ms divisiones, veramos que siempre que se cree ver la soberana dividida se equivoca uno, que los derechos que se toman como parte de esta.
video_2_segment_3| polímpota su hizo francófono. Fue a la vez escritor pedagógico, filósofo, músico, botánico y naturalista. | polmpota su hizo francfono Fue a la vez escritor pedaggico, filsofo, msico, botnico y naturalista.
video_2_segment_30| razones para amar al de mi país. 1. ASUUNTO DE ESTE PRIMER LIBRO | razones para amar al de mi pas uno ASUUNTO DE ESTE PRIMER LIBRO.
video_2_segment_300| soberanía le están todos subordinados y suponen siempre voluntad de supremas, de las cuales estos hechos no son | soberana le estn todos subordinados y suponen siempre voluntad de supremas, de las cuales estos hechos no son.
video_2_segment_301| sino su ejecución. No es posible expresar cuánta oscuridad ha lanzado esta falta de exactitud sobre las decisiones de los | sino su ejecucin No es posible expresar cunta oscuridad ha lanzado esta falta de exactitud sobre las decisiones de los.
video_2_segment_302| autores en materia de derecho político cuando han querido juzgar de los derechos respectivos de los reyes y de los pueblos sobre el | autores en materia de derecho poltico cuando han querido juzgar de los derechos respectivos de los reyes y de los pueblos sobre el.
video_2_segment_303| principios que habían establecido, todo el que quiera puede ver en los capítulos tercero y cuarto del primer libro de G. | principios que haban establecido, todo el que quiera puede ver en los captulos tercero y cuarto del primer libro de G.
video_2_segment_304| grossio, como este sabio y su traductor, Baiberak, se confunden y enredan en sus ofismas por temora de decir demasiado. | grossio, como este sabio y su traductor, Baiberak, se confunden y enredan en sus ofismas por temora de decir demasiado.
video_2_segment_305| o de no decir bastante, según sus puntos de vista y de hacer chocar los intereses que debían conciliar. Grocio refuerzo. | o de no decir bastante, segn sus puntos de vista y de hacer chocar los intereses que deban conciliar Grocio refuerzo.
video_2_segment_306| de su jihad en Francia, descontento de su patria y queriendo hacer la corte a Luís 13, a quien iba dedicado su libro, no perdona medio de desgraciación. | de su jihad en Francia, descontento de su patria y queriendo hacer la corte a Lus trece a quien iba dedicado su libro, no perdona medio de desgraciacin.
video_2_segment_307| pojar a los pueblos de todos sus derechos y de adornar a los reyes con todo el arte posible. Este hubiese sido también | pojar a los pueblos de todos sus derechos y de adornar a los reyes con todo el arte posible Este hubiese sido tambin.
video_2_segment_308| el gusto de Barbeirac que dedicaba su traducción al rey de Inglaterra Jorge I. Pero desgaciadamente la | el gusto de Barbeirac que dedicaba su traduccin al rey de Inglaterra Jorge I Pero desgaciadamente la.
video_2_segment_309| expulsión de Jacob II, que él llama abdicación le obliga a guardar reservas, a soslayar, a terjiversar, para | expulsin de Jacob II, que l llama abdicacin le obliga a guardar reservas, a soslayar, a terjiversar, para.
video_2_segment_31| El hombre ha nacido libre y sin embargo, por todas partes, encuentra encadenado. Tal cual se cree el amo de los demás, cuando, en verdad, no se ha encontrado. | El hombre ha nacido libre y sin embargo, por todas partes, encuentra encadenado Tal cual se cree el amo de los dems, cuando, en verdad, no se ha encontrado.
video_2_segment_310| no hacer de Guillermo un usurpador. Si estos dos escritores hubiesen adoptado, los verdaderos principios se habrían salvado. | no hacer de Guillermo un usurpador Si estos dos escritores hubiesen adoptado, los verdaderos principios se habran salvado.
video_2_segment_311| todas las dificultades y habrían sido siempre consecuentes, pero hubieran dicho por desgracia la verdad y no hubiera | todas las dificultades y habran sido siempre consecuentes, pero hubieran dicho por desgracia la verdad y no hubiera.
video_2_segment_312| que se han hecho la corte más que al pueblo. Ahora bien, la verdad no conduce al lucro, y el pueblo no da embajadas ni sedes. | que se han hecho la corte ms que al pueblo Ahora bien, la verdad no conduce al lucro, y el pueblo no da embajadas ni sedes.
video_2_segment_313| ni pensiones. Capítulo 3 sobre si la voluntad general puede errar. | ni pensiones Captulo tres sobre si la voluntad general puede errar.
video_2_segment_314| Se sigue de todo lo que precede que la voluntad general es siempre recta y tiende a la utilidad pública, pero no que las deliberaciones del pueblo | Se sigue de todo lo que precede que la voluntad general es siempre recta y tiende a la utilidad pblica, pero no que las deliberaciones del pueblo.
video_2_segment_315| lo ofrezcan siempre la misma rectitud. Se quiere siempre el bien propio, pero no siempre se le conoce. Nunca se corrompe | lo ofrezcan siempre la misma rectitud Se quiere siempre el bien propio, pero no siempre se le conoce Nunca se corrompe.
video_2_segment_316| al pueblo, pero frecuentemente se le engaña, y solamente entonces es cuando parece querer lo malo. Hay con frecuencia? | al pueblo, pero frecuentemente se le engaa, y solamente entonces es cuando parece querer lo malo Hay con frecuencia?.
video_2_segment_317| bastante diferencia entre la voluntad de todos y la voluntad general. Esta no tiene en cuenta, sino el interés común. La otra se refiere. | bastante diferencia entre la voluntad de todos y la voluntad general Esta no tiene en cuenta, sino el inters comn La otra se refiere.
video_2_segment_318| al interés privado y no es sino una suma de voluntades particulares, pero quita de estas mismas voluntades el más y el más. | al inters privado y no es sino una suma de voluntades particulares, pero quita de estas mismas voluntades el ms y el ms.
video_2_segment_319| menos que se destruyen mutuamente y queda como suma de las diferencias la voluntad general. Si cuando el pueblo delibera | menos que se destruyen mutuamente y queda como suma de las diferencias la voluntad general Si cuando el pueblo delibera.
video_2_segment_32| no deja de ser tan esclavo como ellos. ¿Cómo se ha verificado este camino? Lo inoro. ¿Qué puede hacerlo legítimo? Creo poder resolver. | no deja de ser tan esclavo como ellos ¿Cmo se ha verificado este camino? Lo inoro ¿Qu puede hacerlo legtimo? Creo poder resolver.
video_2_segment_320| una vez suficientemente informado. ¿No mantuviesen los ciudadanos ninguna comunicación entre sí, del gran número de las pequeñas diferencias? | una vez suficientemente informado ¿No mantuviesen los ciudadanos ninguna comunicacin entre s, del gran nmero de las pequeas diferencias?.
video_2_segment_321| resultaría la voluntad general y la deliberación sería siempre buena. Más cuando se desarrolla en intrigas y se forman asociados, | resultara la voluntad general y la deliberacin sera siempre buena Ms cuando se desarrolla en intrigas y se forman asociados,.
video_2_segment_322| de las sociales, a expensas de la asociación total, la voluntad de cada una de estas asociaciones se convierte en la edad de la desigualdad de la ciudad. | de las sociales, a expensas de la asociacin total, la voluntad de cada una de estas asociaciones se convierte en la edad de la desigualdad de la ciudad.
video_2_segment_323| en general con relación a sus miembros y en particular con relación al estado. Entonces, no cabe decir que hay tantos votar. | en general con relacin a sus miembros y en particular con relacin al estado Entonces, no cabe decir que hay tantos votar.
video_2_segment_324| antes como hombres, por tanto como asociaciones. Las diferencias se reducen y dan un resultado menos general. Finalmente, | antes como hombres, por tanto como asociaciones Las diferencias se reducen y dan un resultado menos general Finalmente,.
video_2_segment_325| cuando una de estas asociaciones está en grande que accede a todas las demás no tendrá como resultado una suma de | cuando una de estas asociaciones est en grande que accede a todas las dems no tendr como resultado una suma de.
video_2_segment_326| de pequeñas diferencias, sino una diferencia única. Entonces, no haya voluntad general, y la opinión que domina no | de pequeas diferencias, sino una diferencia nica Entonces, no haya voluntad general, y la opinin que domina no.
video_2_segment_327| es sino una opinión particular. ¿Importa pues para poder fijar bien el enunciado de la voluntad general que no hayan hecho? | es sino una opinin particular ¿Importa pues para poder fijar bien el enunciado de la voluntad general que no hayan hecho?.
video_2_segment_328| una sociedad parcial en el estado y que cada ciudadano opine exclusivamente según el mismo. Tal fue la única y sublime | una sociedad parcial en el estado y que cada ciudadano opine exclusivamente segn el mismo Tal fue la nica y sublime.
video_2_segment_329| institución del gran Lizurgo. Si existen sociedades parciales, es preciso multiplicar el número de ellas y prevenirle. | institucin del gran Lizurgo Si existen sociedades parciales, es preciso multiplicar el nmero de ellas y prevenirle.
video_2_segment_33| ver esta cuestión. Si no considerase más que la fuerza y el efecto que de ella se deriva, diría, mientras un pueblo se ve obligado a vedecer, | ver esta cuestin Si no considerase ms que la fuerza y el efecto que de ella se deriva, dira, mientras un pueblo se ve obligado a vedecer,.
video_2_segment_330| de igualdad, como hicieron Solon, Numa y Servio. Estas precauciones son las únicas buenas para que la voluntad genera. | de igualdad, como hicieron Solon, Numa y Servio Estas precauciones son las nicas buenas para que la voluntad genera.
video_2_segment_331| se manifieste siempre y para que el pueblo no se equivoque nunca. | se manifieste siempre y para que el pueblo no se equivoque nunca.
video_2_segment_332| límites del poder soberano. Si el Estado o la Ciudad no es sino una persona moral, cuya vida consiste en la unión de sus mís. | lmites del poder soberano Si el Estado o la Ciudad no es sino una persona moral, cuya vida consiste en la unin de sus ms.
video_2_segment_333| y si el más importante de sus cuidados es el de su propia conservación, le es indispensable una fuerza universal. | y si el ms importante de sus cuidados es el de su propia conservacin, le es indispensable una fuerza universal.
video_2_segment_334| y compulsiva que mueva y disponga cada parte del modo más conveniente para el todo, de igual modo que la naturaleza. | y compulsiva que mueva y disponga cada parte del modo ms conveniente para el todo, de igual modo que la naturaleza.
video_2_segment_335| realizada a cada hombre, un poder absoluto sobre sus miembros. Así el pacto social da al cuerpo político, un poder absoluto. | realizada a cada hombre, un poder absoluto sobre sus miembros As el pacto social da al cuerpo poltico, un poder absoluto.
video_2_segment_336| soluto sobre todo lo suyo. Ese mismo poder es el que, dirigido por la voluntad general, lleva el nombre de soberanía. | soluto sobre todo lo suyo Ese mismo poder es el que, dirigido por la voluntad general, lleva el nombre de soberana.
video_2_segment_337| Pero, además de la persona pública, tenemos que considerar las personas privadas que la componen, y cuya vida y libertad son naturalmente | Pero, adems de la persona pblica, tenemos que considerar las personas privadas que la componen, y cuya vida y libertad son naturalmente.
video_2_segment_338| independientes de ella. Se trata pues de distinguir bien los derechos respectivos de los ciudadanos y del soberano. | independientes de ella Se trata pues de distinguir bien los derechos respectivos de los ciudadanos y del soberano.
video_2_segment_339| Así como los deberes que tienen que llenar los primeros en calidad de súbditos del derecho natural, cualidad de que debe gozar por el hecho. | As como los deberes que tienen que llenar los primeros en calidad de sbditos del derecho natural, cualidad de que debe gozar por el hecho.
video_2_segment_34| y obedece, hace bien, más en el momento en que puedes acudir el lluvio y los acude, hace todavía mejor. ¿Por qué? | y obedece, hace bien, ms en el momento en que puedes acudir el lluvio y los acude, hace todava mejor ¿Por qu?.
video_2_segment_340| de ser hombres. Se conviene en que todo lo que cada uno enajena de su poder mediante el pacto social, de igual suerte, que se | de ser hombres Se conviene en que todo lo que cada uno enajena de su poder mediante el pacto social, de igual suerte, que se.
video_2_segment_341| enagena de sus bienes, de su libertad, es solamente la parte de todo aquello cuyo uso importa a la comunidad. | enagena de sus bienes, de su libertad, es solamente la parte de todo aquello cuyo uso importa a la comunidad.
video_2_segment_342| y eso convenir también que sólo el soberano es juez para apreciarlo. Cuantos servicios pueda un ciudadano prestar al Estado | y eso convenir tambin que slo el soberano es juez para apreciarlo Cuantos servicios pueda un ciudadano prestar al Estado.
video_2_segment_343| se los debe prestar en el acto en que el soberano se los pida, pero este por su parte no puede cargar a sus súbditos con ninguna cadena. | se los debe prestar en el acto en que el soberano se los pida, pero este por su parte no puede cargar a sus sbditos con ninguna cadena.
video_2_segment_344| que sea inútilada a comunidad, ni siquiera puede desearlo, porque bajo la ley de la razón no se hace nada sin causa, como a sí mismo | que sea intilada a comunidad, ni siquiera puede desearlo, porque bajo la ley de la razn no se hace nada sin causa, como a s mismo.
video_2_segment_345| ocurre bajo la ley de la naturaleza. Nos compromisos que nos ligan al cuerpo social no son obligatorios, sino porque | ocurre bajo la ley de la naturaleza Nos compromisos que nos ligan al cuerpo social no son obligatorios, sino porque.
video_2_segment_346| son moutuos, y su naturaleza está, que al cumplirlos no se puede trabajar para los demás, sin trabajar también para sí. | son moutuos, y su naturaleza est, que al cumplirlos no se puede trabajar para los dems, sin trabajar tambin para s.
video_2_segment_347| ¿Por qué la voluntad general es siempre reta y por qué todos quieren constantemente la felicidad de cada uno de ellos si no es | ¿Por qu la voluntad general es siempre reta y por qu todos quieren constantemente la felicidad de cada uno de ellos si no es.
video_2_segment_348| porque no hay nadie que no sea propia estas palabras de cada uno, y que no piense en si mismo al votar para todos. | porque no hay nadie que no sea propia estas palabras de cada uno, y que no piense en si mismo al votar para todos.
video_2_segment_349| Lo que prueba que la igualdad es derecho y la noción de justicia que produce se deriva de la preferencia que cada uno se da. | Lo que prueba que la igualdad es derecho y la nocin de justicia que produce se deriva de la preferencia que cada uno se da.
video_2_segment_35| recobrando su libertad por el mismo derecho que se le arrebato o está fundado a recobrarla o no lo estaba a la verse le quitado. | recobrando su libertad por el mismo derecho que se le arrebato o est fundado a recobrarla o no lo estaba a la verse le quitado.
video_2_segment_350| y por consiguiente de la naturaleza del hombre, que la voluntad general, para ser verdaderamente tal, debe serlo en su objeto tal. | y por consiguiente de la naturaleza del hombre, que la voluntad general, para ser verdaderamente tal, debe serlo en su objeto tal.
video_2_segment_351| tanto como en su esencia, que debe partir de todos para aplicarse a todos y que pierde su naturalele rectitud cuando tiende. | tanto como en su esencia, que debe partir de todos para aplicarse a todos y que pierde su naturalele rectitud cuando tiende.
video_2_segment_352| algún objeto individual y determinado, porque entonces, escudando de lo que no es extraño, no tenemos ningún verdadero precio. | algn objeto individual y determinado, porque entonces, escudando de lo que no es extrao, no tenemos ningn verdadero precio.
video_2_segment_353| principio de equidad que nos guie. En efecto, tan pronto como se trata de un hecho o de un derecho particular sobre un punto. | principio de equidad que nos guie En efecto, tan pronto como se trata de un hecho o de un derecho particular sobre un punto.
video_2_segment_354| que no ha sido reglamentado por una convención general y anterior el asunto adviene contentioso. Es un proceso en que | que no ha sido reglamentado por una convencin general y anterior el asunto adviene contentioso Es un proceso en que.
video_2_segment_355| los particulares interesados son una de las partes y el público la otra, pero en el que no ve ni la ley, que es preciso seguir | los particulares interesados son una de las partes y el pblico la otra, pero en el que no ve ni la ley, que es preciso seguir.
video_2_segment_356| ni al juicio que de me pronunciar. Sería ridículo entonces que en él se referir a una expresa decisión de la voluntad general que no puedes | ni al juicio que de me pronunciar Sera ridculo entonces que en l se referir a una expresa decisin de la voluntad general que no puedes.
video_2_segment_357| ser sino la conclusión de una de las partes y que por consiguiente no es para la otra, sino una voluntad extraña particular. | ser sino la conclusin de una de las partes y que por consiguiente no es para la otra, sino una voluntad extraa particular.
video_2_segment_358| muscular, llevada en esta ocasión a la injusticia y sujeta al error. Así del mismo modo que una voluntad particular. | muscular, llevada en esta ocasin a la injusticia y sujeta al error As del mismo modo que una voluntad particular.
video_2_segment_359| no puede representar la voluntad general, esta a su vez, cambia de naturaleza, teniendo un objeto particular y no puede comer. | no puede representar la voluntad general, esta a su vez, cambia de naturaleza, teniendo un objeto particular y no puede comer.
video_2_segment_36| Pero el orden social es un derecho sagrado y sirve de base a todos los demás. Sin embargo, este derecho no viene de la naturaleza. | Pero el orden social es un derecho sagrado y sirve de base a todos los dems Sin embargo, este derecho no viene de la naturaleza.
video_2_segment_360| general pronunciarse ni sobre un hombre ni sobre un hecho. Cuando el pueblo de Atenas, por ejemplo, nombraba o disponía. | general pronunciarse ni sobre un hombre ni sobre un hecho Cuando el pueblo de Atenas, por ejemplo, nombraba o dispona.
video_2_segment_361| a sus jefes, o torgaba a un orés al uno, imponía pena a sal otro, y por multitud de decretos particulares, ejercía indistintamente. | a sus jefes, o torgaba a un ors al uno, impona pena a sal otro, y por multitud de decretos particulares, ejerca indistintamente.
video_2_segment_362| en mente, todos los actos de gobierno. El pueblo entonces no tenía la voluntad general propiamente dicha. No obraba ya como soberano. | en mente, todos los actos de gobierno El pueblo entonces no tena la voluntad general propiamente dicha No obraba ya como soberano.
video_2_segment_363| sino como magistrado. Esto parecerá contrario a las ideas comunes, pero es preciso que se me deje tiempo para exponer. | sino como magistrado Esto parecer contrario a las ideas comunes, pero es preciso que se me deje tiempo para exponer.
video_2_segment_364| las mías. Seré no concebir por consiguiente que lo que generaliza la voluntad es menos el número de votos que el interés | las mas Ser no concebir por consiguiente que lo que generaliza la voluntad es menos el nmero de votos que el inters.
video_2_segment_365| común que los suene, porque en esta institución cada uno se somete necesariamente a las condiciones que él impone a los demás. | comn que los suene, porque en esta institucin cada uno se somete necesariamente a las condiciones que l impone a los dems.
video_2_segment_366| Armonía admirable del interés y de la justicia queda a las deliberaciones comunes, un carácter de equidad que se ve desvanecer. | Armona admirable del inters y de la justicia queda a las deliberaciones comunes, un carcter de equidad que se ve desvanecer.
video_2_segment_367| se en la discusión de todo negocio particular por falta de un interés común que una e identifique la regla del juez. | se en la discusin de todo negocio particular por falta de un inters comn que una e identifique la regla del juez.
video_2_segment_368| con la de la parte. Por cualquier lado que se leve uno al principio se llegará siempre a la misma conclusión, a saber que el Paco | con la de la parte Por cualquier lado que se leve uno al principio se llegar siempre a la misma conclusin, a saber que el Paco.
video_2_segment_369| social establece entre los ciudadanos una igualdad tal que se comprometen todos bajo las mismas condiciones y, por tanto, | social establece entre los ciudadanos una igualdad tal que se comprometen todos bajo las mismas condiciones y, por tanto,.
video_2_segment_37| por consiguiente está, pues, fundado sobre convenciones. Se trata de saber cuáles son estas convenciones. | por consiguiente est, pues, fundado sobre convenciones Se trata de saber cules son estas convenciones.
video_2_segment_370| que deben gozar todos los mismos derechos. Así por la naturaliza de pacto, todo acto de soberanía, es decir, todo acto auténtico. | que deben gozar todos los mismos derechos As por la naturaliza de pacto, todo acto de soberana, es decir, todo acto autntico.
video_2_segment_371| de la voluntad general, obliga y favorece igualmente a todos los ciudadanos, de suerte que el soberano | de la voluntad general, obliga y favorece igualmente a todos los ciudadanos, de suerte que el soberano.
video_2_segment_372| no hace solamente el cuerpo de la nación y no distingue a ninguno de aquellos que la componen, que es propiamente un acto de soberanía | no hace solamente el cuerpo de la nacin y no distingue a ninguno de aquellos que la componen, que es propiamente un acto de soberana.
video_2_segment_373| no es en modo alguno una convención del superior con el inferior, sino una convención del cuerpo con cada uno. | no es en modo alguno una convencin del superior con el inferior, sino una convencin del cuerpo con cada uno.
video_2_segment_374| de sus miembros. Convención legítima porque tiene por base el contrato social, equitativa porque es común a todos. | de sus miembros Convencin legtima porque tiene por base el contrato social, equitativa porque es comn a todos.
video_2_segment_375| útil, porque no puede tener más objeto que el bien general y sólida, porque tiene como garantía la fuerza pública y el | til, porque no puede tener ms objeto que el bien general y slida, porque tiene como garanta la fuerza pblica y el.
video_2_segment_376| poder supremo. En tanto que los súptitos no se hayan sometidos más que a tales convenciones, no ve de sena nadie, sino a su propia | poder supremo En tanto que los sptitos no se hayan sometidos ms que a tales convenciones, no ve de sena nadie, sino a su propia.
video_2_segment_377| voluntad. ¿Y preguntar hasta dónde se extienden los derechos respectivos del soberano y de los ciudadanos es preguntar a | voluntad ¿Y preguntar hasta dnde se extienden los derechos respectivos del soberano y de los ciudadanos es preguntar a.
video_2_segment_378| hasta que punto pueden estos comprometerse consigo mismos. Cada uno de ellos respecto a todos y todos reenuncidos. | hasta que punto pueden estos comprometerse consigo mismos Cada uno de ellos respecto a todos y todos reenuncidos.
video_2_segment_379| respecto a cada uno de ellos. De aquí se deduce que el poder soberano, por muy absoluto, sagrado e inviolable que sea | respecto a cada uno de ellos De aqu se deduce que el poder soberano, por muy absoluto, sagrado e inviolable que sea.
video_2_segment_38| Más antes entrar en esto, debo demostrar lo que acabo de anticipar. Capítulo 2 de las primeras. | Ms antes entrar en esto, debo demostrar lo que acabo de anticipar Captulo dos de las primeras.
video_2_segment_380| no excede ni puede exceder de los límites de las convenciones generales y que todo hombre puede disponer pleramente de lo que por lo que | no excede ni puede exceder de los lmites de las convenciones generales y que todo hombre puede disponer pleramente de lo que por lo que.
video_2_segment_381| de esas convenciones le han dejado de sus bienes y de su libertad. Desuerte que el soberano no tiene jamás derecho | de esas convenciones le han dejado de sus bienes y de su libertad Desuerte que el soberano no tiene jams derecho.
video_2_segment_382| de pesar sobre un sumdito más que sobre otro, porque entonces al adquirir el asunto carácter particular hace que su poder | de pesar sobre un sumdito ms que sobre otro, porque entonces al adquirir el asunto carcter particular hace que su poder.
video_2_segment_383| deje de ser competente. Una vez admitidas estas distinciones es preciso afirmar que es falso que el contrato social. | deje de ser competente Una vez admitidas estas distinciones es preciso afirmar que es falso que el contrato social.
video_2_segment_384| haya de parte de los particulares ninguna renuncia verdadera, pues su situación, por efecto, de este contrato, es realmente | haya de parte de los particulares ninguna renuncia verdadera, pues su situacin, por efecto, de este contrato, es realmente.
video_2_segment_385| preferible, aladeantes, y en lugar de una enagenación no han hecho sino un cambio ventajoso, de una manera de vivir incierta y | preferible, aladeantes, y en lugar de una enagenacin no han hecho sino un cambio ventajoso, de una manera de vivir incierta y.
